,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Moussaka,Moussaka,19644/moussaka/,787,4.44483995437622,greek,567,39.4g,18.0g,123mg,1017mg,742mg,29.1g,5.4g,23.6g,14g,920IU,6mg,351mg,3mg,0mg,9mg,0mg,60mg,57mcg
Pastitsio,Pastitsio,109841/pastitsio/,25,4.06666660308838,greek,430,23g,11.0g,180mg,690mg,467mg,27.8g,1.9g,27.5g,3g,609IU,3mg,173mg,4mg,0mg,10mg,0mg,48mg,95mcg
Greek Lemon Chicken and Potatoes,Greek Lemon Chicken and Potatoes,242352/greek-lemon-chicken-and-potatoes/,1k,4.73760318756104,greek,1139,74.5g,17.0g,284mg,1866mg,1428mg,34.5g,3g,80.4g,2g,625IU,26mg,93mg,6mg,0mg,36mg,2mg,112mg,52mcg
Greek Stuffed Tomatoes and Peppers (Yemista),Greek Stuffed Tomatoes and Peppers (Yemista),233236/greek-stuffed-tomatoes-and-peppers-yemista/,27,4.33333349227905,greek,348,20.6g,7.0g,44mg,412mg,553mg,28.5g,3.4g,13g,5g,1394IU,61mg,49mg,3mg,0mg,6mg,0mg,36mg,89mcg
Mediterranean Puff Pastry Chicken,Mediterranean Puff Pastry Chicken,140729/mediterranean-puff-pastry-chicken/,269,4.56198358535767,greek,515,32.6g,10.0g,101mg,524mg,438mg,33.6g,2.1g,22.4g,3g,1654IU,9mg,181mg,3mg,0mg,13mg,0mg,50mg,94mcg
Grecian Pork Tenderloin,Grecian Pork Tenderloin,14951/grecian-pork-tenderloin/,408,4.57456159591675,greek,404,31.1g,5.0g,65mg,829mg,535mg,9.1g,2.2g,24.3g,1g,343IU,22mg,91mg,3mg,1mg,11mg,1mg,44mg,19mcg
Greek Style Garlic Chicken Breast,Greek Style Garlic Chicken Breast,54202/greek-style-garlic-chicken-breast/,517,4.47301578521729,greek,644,57.6g,8.0g,68mg,660mg,360mg,4g,1.6g,27.8g,0g,136IU,23mg,36mg,1mg,0mg,19mg,1mg,39mg,7mcg
Cousin Cosmo's Greek Chicken,Cousin Cosmo's Greek Chicken,28362/cousin-cosmos-greek-chicken/,505,4.43423414230347,greek,239,10.2g,4.0g,85mg,686mg,468mg,4.8g,0.8g,31g,1g,1856IU,10mg,131mg,2mg,0mg,20mg,1mg,54mg,52mcg
Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),214011/octapodi-kokkinisto-greek-octopus-in-tomato-sauce/,24,4.57142877578735,greek,412,28.8g,4.0g,73mg,502mg,813mg,14.6g,2.4g,24.2g,6g,734IU,22mg,109mg,10mg,0mg,8mg,1mg,64mg,51mcg
Greek Chicken Pasta,Greek Chicken Pasta,12072/greek-chicken-pasta/,1k,4.35647535324097,greek,488,11.4g,3.0g,55mg,444mg,526mg,70g,7.5g,32.6g,5g,486IU,56mg,125mg,4mg,0mg,17mg,1mg,71mg,169mcg
Souvlaki,Souvlaki,14713/souvlaki/,941,4.69621515274048,greek,189,8.1g,2.0g,65mg,354mg,467mg,4.3g,1.2g,24.2g,1g,86IU,25mg,21mg,1mg,1mg,11mg,1mg,34mg,7mcg
Spinach and Feta Pita Bake,Spinach and Feta Pita Bake,93666/spinach-and-feta-pita-bake/,1k,4.75844430923462,greek,350,17.1g,4.0g,13mg,587mg,524mg,41.6g,6.9g,11.6g,3g,5546IU,19mg,149mg,4mg,0mg,5mg,0mg,96mg,142mcg
Greek Penne and Chicken,Greek Penne and Chicken,11998/greek-penne-and-chicken/,740,4.32564449310303,greek,685,13.2g,7.0g,94mg,826mg,654mg,96.2g,7.1g,47g,6g,920IU,24mg,155mg,5mg,0mg,26mg,1mg,98mg,25mcg
Spanakopita (Greek Spinach Pie),Spanakopita (Greek Spinach Pie),18417/spanakopita-greek-spinach-pie/,905,4.49861097335815,greek,494,34.7g,11.0g,100mg,894mg,1304mg,31.5g,7.4g,18.2g,5g,12264IU,62mg,495mg,8mg,0mg,7mg,1mg,175mg,391mcg
Greek Lemon Chicken and Potato Bake,Greek Lemon Chicken and Potato Bake,242402/greek-lemon-chicken-and-potato-bake/,3k,4.64150953292847,greek,551,29.1g,6.0g,103mg,1859mg,1252mg,41.9g,8.5g,34.8g,3g,1036IU,49mg,142mg,6mg,0mg,16mg,1mg,95mg,73mcg
Chicken Souvlaki Gyro Style,Chicken Souvlaki Gyro Style,72114/chicken-souvlaki-gyro-style/,506,4.68077611923218,greek,764,40.5g,15.0g,133mg,3170mg,728mg,55.9g,3.8g,44.4g,12g,2270IU,21mg,566mg,4mg,1mg,23mg,1mg,80mg,144mcg
Greek Pasta with Tomatoes and White Beans,Greek Pasta with Tomatoes and White Beans,11669/greek-pasta-with-tomatoes-and-white-beans/,657,4.16485500335693,greek,460,5.9g,3.0g,17mg,593mg,1362mg,79g,11.5g,23.4g,8g,8321IU,35mg,338mg,12mg,0mg,7mg,0mg,153mg,228mcg
Feta Cheese Turkey Burgers,Feta Cheese Turkey Burgers,14572/feta-cheese-turkey-burgers/,459,4.56166982650757,greek,318,21.9g,9.0g,123mg,800mg,300mg,3.6g,0.5g,25.5g,2g,226IU,0mg,217mg,2mg,0mg,9mg,1mg,31mg,22mcg
Greek Chicken,Greek Chicken,14527/greek-chicken/,516,4.46218490600586,greek,412,30.7g,7.0g,97mg,95mg,319mg,3.5g,1.4g,31.1g,0g,145IU,22mg,38mg,2mg,0mg,10mg,0mg,30mg,9mcg
Chicken Souvlaki with Tzatziki Sauce,Chicken Souvlaki with Tzatziki Sauce,231644/chicken-souvlaki-with-tzatziki-sauce/,731,4.72752046585083,greek,268,16.8g,4.0g,71mg,295mg,236mg,2.6g,0.3g,25.5g,1g,47IU,3mg,21mg,1mg,0mg,15mg,0mg,25mg,7mcg
